Id,Label,timeset,pageranks
entity.n.01,,,0.000003
state.n.01,,,0.004678
person.n.01,,,0.019066
physical_entity.n.01,,,0.000003
identity.n.01,,,0.000149
abstraction.n.06,,,0.000005
picture.n.01,,,0.001719
thing.n.12,,,0.000003
object.n.01,,,0.00098
piece.n.01,,,0.00084
touch.n.01,,,0.000111
noun.n.01,,,0.000042
item.n.01,,,0.000028
whole.n.02,,,0.000006
measuring_stick.n.01,,,0.000095
agreement.n.01,,,0.000601
kitchen.n.01,,,0.000919
sum.n.01,,,0.000479
unit_of_measurement.n.01,,,0.000658
congener.n.03,,,0.000003
living_thing.n.01,,,0.000006
life.n.01,,,0.00055
land.n.04,,,0.000558
estimate.n.01,,,0.000523
body.n.01,,,0.002595
organism.n.01,,,0.00031
presence.n.01,,,0.000026
microbe.n.01,,,0.000155
biology.n.01,,,0.000094
benthos.n.02,,,0.000004
sea.n.01,,,0.00122
swimming.n.01,,,0.001779
fish.n.01,,,0.002309
brawn.n.01,,,0.000059
dwarf.n.03,,,0.000004
rock.n.01,,,0.00078
animal.n.01,,,0.00687
heterotroph.n.01,,,0.000003
agreement.n.04,,,0.000992
fictional_character.n.01,,,0.003815
parent.n.02,,,0.000004
child.n.01,,,0.000553
concern.n.01,,,0.00017
life.n.10,,,0.000003
truth.n.01,,,0.000168
biont.n.01,,,0.000005
cake.n.01,,,0.000157
food.n.01,,,0.01139
european_union.n.01,,,0.000233
cup_of_tea.n.01,,,0.000804
tea.n.01,,,0.000365
cell.n.02,,,0.000009
nucleus.n.01,,,0.000042
telephone.n.01,,,0.000496
wall.n.01,,,0.000456
device.n.01,,,0.000707
prison.n.01,,,0.000142
causal_agent.n.01,,,0.000144
impression.n.01,,,0.000077
event.n.01,,,0.000273
reason.n.01,,,0.000295
consequence.n.01,,,0.000201
group.n.01,,,0.001746
organ.n.01,,,0.000354
sense.n.01,,,0.000194
work.n.01,,,0.001626
goal.n.01,,,0.000183
blood.n.01,,,0.000321
fur.n.01,,,0.000733
giant.n.01,,,0.000154
hair.n.01,,,0.001272
nose.n.01,,,0.000472
automaton.n.01,,,0.000038
plant.n.02,,,0.000007
flower.n.01,,,0.000252
plant.n.01,,,0.001324
heart.n.01,,,0.000586
spring.n.01,,,0.000248
semblance.n.01,,,0.005208
art.n.01,,,0.000417
native.n.03,,,0.000004
culture.n.01,,,0.000617
indian.n.01,,,0.000077
natural_object.n.01,,,0.000003
substance.n.01,,,0.000229
material.n.01,,,0.00048
drug.n.01,,,0.000403
matter.n.01,,,0.000032
substance.n.07,,,0.000004
matter.n.03,,,0.000004
mass.n.01,,,0.000054
atom.n.01,,,0.000293
amino.n.01,,,0.000157
taste.n.01,,,0.002394
nutrient.n.02,,,0.000003
artifact.n.01,,,0.000004
memory.n.01,,,0.001439
article.n.02,,,0.000003
composition.n.01,,,0.001079
psychological_feature.n.01,,,0.000004
quality.n.01,,,0.000774
cognition.n.01,,,0.000007
experience.n.01,,,0.000219
deity.n.01,,,0.000564
religion.n.01,,,0.001389
brain.n.01,,,0.000163
motivation.n.01,,,0.000086
logic.n.01,,,0.00005
energy.n.01,,,0.000346
attribute.n.02,,,0.000004
measure.n.01,,,0.000828
value.n.01,,,0.000405
state.n.02,,,0.000004
topographic_point.n.01,,,0.003733
state.n.04,,,0.001193
feeling.n.01,,,0.000005
emotion.n.01,,,0.000895
location.n.01,,,0.000003
area.n.01,,,0.001672
position.n.01,,,0.001283
shape.n.02,,,0.000006
angle.n.01,,,0.000544
form.n.01,,,0.000592
outline.n.01,,,0.000022
figure.n.01,,,0.000062
time.n.05,,,0.000006
era.n.01,,,0.000055
newspaper.n.01,,,0.000122
day.n.01,,,0.000662
historic_period.n.01,,,0.000048
clock.n.01,,,0.000318
space.n.01,,,0.000584
number.n.01,,,0.000809
scope.n.01,,,0.000102
solution.n.01,,,0.000266
absolute_space.n.01,,,0.000003
phase_space.n.01,,,0.000003
time_period.n.01,,,0.001235
purgative.n.01,,,0.001158
two.n.01,,,0.000328
endowment.n.01,,,0.000106
procedure.n.01,,,0.0012
process.n.06,,,0.000006
design.n.01,,,0.000389
act.n.02,,,0.000007
manner.n.01,,,0.001003
discussion.n.01,,,0.000212
means.n.01,,,0.000261
ally.n.01,,,0.00024
relation.n.01,,,0.000005
idea.n.01,,,0.000358
